country_clean,total_titles,avg_rating
"'RO', 'US'",1,5.3
"'ES', 'KN'",1,5.4
"'SE', 'GB'",1,4.8
"'SG', 'US', 'IN'",1,7.1
"'DE', 'AU'",1,6.3
"'GB', 'CA'",1,6.6
"'IE', 'US', 'CA'",1,6.8
'PT',2,7.7
"'US', 'PL', 'KR'",1,7.2
"'LU', 'FR'",1,7.5
"'IT', 'BR'",1,5.6
"'GB', 'HU', 'NL', 'CH'",1,5.2
"'BR', 'DE', 'QA', 'MX', 'US', 'CH', 'AR'",1,7.3
"'ES', 'PE'",1,5.7
"'BE', 'GB', 'DE'",1,6.7
"'ZA', 'GB', 'US'",1,4.7
"'CL', 'PE'",1,5.4
"'CA', 'CN', 'US'",1,5.4
"'SG', 'US'",1,5.8
"'BR', 'US'",1,6.6
"'BE', 'NL'",1,7
"'RU', 'US'",1,6.2
"'ES', 'US'",1,7.3
"'CZ', 'DE'",1,5.4
"'NZ', 'HK'",1,4.7
"'MA', 'SA', 'TN', 'EG', 'LB'",1,5.6
"'CN', 'GB'",1,6.4
'AF',1,7.7
"'BE', 'LU'",1,5.2
"'BE', 'DE'",1,5.6
"'SE', 'RO'",1,5.5
"'ZA', 'US'",1,5.2
"'GB', 'IN'",2,5.1
"'HU', 'CA'",1,0
"'NG', 'CA'",1,6.1
"'TZ', 'GB'",1,5.6
"'PH', 'FO'",1,5
